batch_id,content_id,version,shot,source_path,copy_path,bytes,sha256,prompt_path,prompt_sha256,timeline_start,timeline_end,generation_mode,minimum_grok_source_seconds,output_template,storyboard_sha256,episode_qa_sha256,batch_qa_sha256
HB20260810,HC20260810-009,v01,S01,09_泛健康日更/work/HC20260810-009/production/v01/03_first_frames/HC20260810-009-v01-S01-firstframe.png,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-009-v01-S01-firstframe.png,1829838,a7478087be87307fb311fdf9c9cf38b2ca0edd390c7855b5f255def244be9f29,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-009-v01-S01-prompt-zh-en.txt,fb636ade3df75af0d4f81a60b389f764985cbfafcb83fb2c81800cb9ba11bee3,00.00,04.00,grok_manual,4.00,09_泛健康日更/work/HC20260810-009/production/v01/05_grok_videos/01_raw/HC20260810-009-v01-S01A-takeNN.mp4|09_泛健康日更/work/HC20260810-009/production/v01/05_grok_videos/01_raw/HC20260810-009-v01-S01B-takeNN.mp4,592fa09a113a008393c925a2ba8a03029ca02a44cf9d2b03847e1172debeb0fa,5e996ef8519406450f36c06a39d53e5ac2ce3849d6d3db9345637886975c318a,599af3788947838820f0c1b3f9ea834d7308d7114a7a9330439fe181952934c9
HB20260810,HC20260810-009,v01,S02,09_泛健康日更/work/HC20260810-009/production/v01/03_first_frames/HC20260810-009-v01-S02-firstframe.png,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-009-v01-S02-firstframe.png,1641061,c3dd0d51f8c94117ab0a3edf1d83f5a3de52b2f0f17ef7cb2a4742ae4448361c,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-009-v01-S02-prompt-zh-en.txt,8449ee45f34837fb590b4ae6ab2cde83d3dfec58042543364101d1be6df837f1,04.00,09.30,deterministic_post,0.00,09_泛健康日更/work/HC20260810-009/production/v01/06_edit/01_rough_cut/HC20260810-009-v01-S02-deterministic-post.mp4,592fa09a113a008393c925a2ba8a03029ca02a44cf9d2b03847e1172debeb0fa,5e996ef8519406450f36c06a39d53e5ac2ce3849d6d3db9345637886975c318a,599af3788947838820f0c1b3f9ea834d7308d7114a7a9330439fe181952934c9
HB20260810,HC20260810-009,v01,S03,09_泛健康日更/work/HC20260810-009/production/v01/03_first_frames/HC20260810-009-v01-S03-firstframe.png,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-009-v01-S03-firstframe.png,2096444,86fc24aa09c3af1a6f29257659c3da062814161bfd49dd1289dee85b130eef6e,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-009-v01-S03-prompt-zh-en.txt,1fc5bc2724ea01c27619671bbfd288786f6c90c876424d0ad0e52d4c64021dca,09.30,14.60,grok_manual,5.30,09_泛健康日更/work/HC20260810-009/production/v01/05_grok_videos/01_raw/HC20260810-009-v01-S03-takeNN.mp4,592fa09a113a008393c925a2ba8a03029ca02a44cf9d2b03847e1172debeb0fa,5e996ef8519406450f36c06a39d53e5ac2ce3849d6d3db9345637886975c318a,599af3788947838820f0c1b3f9ea834d7308d7114a7a9330439fe181952934c9
HB20260810,HC20260810-009,v01,S04,09_泛健康日更/work/HC20260810-009/production/v01/03_first_frames/HC20260810-009-v01-S04-firstframe.png,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-009-v01-S04-firstframe.png,2022875,1b607d4b6c9f4d2fe3d9f9f3a4e5bac70d9b76738ec25fd922a7c4bfdce5d92a,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-009-v01-S04-prompt-zh-en.txt,23ed2f39cfe792b35d8c382c0a72b7f4fb252ca3956c3d0a5b3d5cf7240787dc,14.60,19.90,grok_manual,5.30,09_泛健康日更/work/HC20260810-009/production/v01/05_grok_videos/01_raw/HC20260810-009-v01-S04-takeNN.mp4,592fa09a113a008393c925a2ba8a03029ca02a44cf9d2b03847e1172debeb0fa,5e996ef8519406450f36c06a39d53e5ac2ce3849d6d3db9345637886975c318a,599af3788947838820f0c1b3f9ea834d7308d7114a7a9330439fe181952934c9
HB20260810,HC20260810-009,v01,S05,09_泛健康日更/work/HC20260810-009/production/v01/03_first_frames/HC20260810-009-v01-S05-firstframe.png,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-009-v01-S05-firstframe.png,1940198,16602795c6cf4c78470b357a70d923d111655177e89e779ea7a46e4127eda738,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-009-v01-S05-prompt-zh-en.txt,f10197c06be684aaca7aacb5dab524dd1eb1503de54adfc71d401ceb69011852,19.90,25.30,grok_manual,5.40,09_泛健康日更/work/HC20260810-009/production/v01/05_grok_videos/01_raw/HC20260810-009-v01-S05-takeNN.mp4,592fa09a113a008393c925a2ba8a03029ca02a44cf9d2b03847e1172debeb0fa,5e996ef8519406450f36c06a39d53e5ac2ce3849d6d3db9345637886975c318a,599af3788947838820f0c1b3f9ea834d7308d7114a7a9330439fe181952934c9
HB20260810,HC20260810-009,v01,S06,09_泛健康日更/work/HC20260810-009/production/v01/03_first_frames/HC20260810-009-v01-S06-firstframe.png,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-009-v01-S06-firstframe.png,1960355,f90c94131ea232d5ef63d6a80f82fba8c628440a40827131bb28e6925b2d622f,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-009-v01-S06-prompt-zh-en.txt,69d25dd53cb009bf820fb10c49d1e12baed6bab41380fe5d2a938a3e2f6eaaca,25.30,30.80,grok_manual,5.50,09_泛健康日更/work/HC20260810-009/production/v01/05_grok_videos/01_raw/HC20260810-009-v01-S06-takeNN.mp4,592fa09a113a008393c925a2ba8a03029ca02a44cf9d2b03847e1172debeb0fa,5e996ef8519406450f36c06a39d53e5ac2ce3849d6d3db9345637886975c318a,599af3788947838820f0c1b3f9ea834d7308d7114a7a9330439fe181952934c9
HB20260810,HC20260810-009,v01,S07,09_泛健康日更/work/HC20260810-009/production/v01/03_first_frames/HC20260810-009-v01-S07-firstframe.png,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-009-v01-S07-firstframe.png,1823106,f024a4eecb0aed79318f74d3f84ecfacd3ab1df7b9acc5e47beeb18484cb91ad,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-009-v01-S07-prompt-zh-en.txt,437971246e87c521ef367e82ee7fbfa057ca54b47177608768a39ffbf8d5f784,30.80,36.30,grok_manual,5.50,09_泛健康日更/work/HC20260810-009/production/v01/05_grok_videos/01_raw/HC20260810-009-v01-S07-takeNN.mp4,592fa09a113a008393c925a2ba8a03029ca02a44cf9d2b03847e1172debeb0fa,5e996ef8519406450f36c06a39d53e5ac2ce3849d6d3db9345637886975c318a,599af3788947838820f0c1b3f9ea834d7308d7114a7a9330439fe181952934c9
HB20260810,HC20260810-009,v01,S08,09_泛健康日更/work/HC20260810-009/production/v01/03_first_frames/HC20260810-009-v01-S08-firstframe.png,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-009-v01-S08-firstframe.png,842523,02814fc8681c0301fde040fe307a99767d8597c085a5f5f8583fd9a46ddcabd4,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-009-v01-S08-prompt-zh-en.txt,4c97a960eb691b69d5e293c8fbbcaf72186d08105641e5400887183452ddc582,36.30,41.90,deterministic_post,0.00,09_泛健康日更/work/HC20260810-009/production/v01/06_edit/01_rough_cut/HC20260810-009-v01-S08-deterministic-post.mp4,592fa09a113a008393c925a2ba8a03029ca02a44cf9d2b03847e1172debeb0fa,5e996ef8519406450f36c06a39d53e5ac2ce3849d6d3db9345637886975c318a,599af3788947838820f0c1b3f9ea834d7308d7114a7a9330439fe181952934c9
HB20260810,HC20260810-009,v01,S09,09_泛健康日更/work/HC20260810-009/production/v01/03_first_frames/HC20260810-009-v01-S09-firstframe.png,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-009-v01-S09-firstframe.png,2028480,02910c7d2ff8c6cc44f41d6c28693a6d86c5e31a697c76558262c6369020d144,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-009-v01-S09-prompt-zh-en.txt,24322b239ab3e45ea4efdc4f5fcdf25e1a93eae6418b5f9842570b0eaf032893,41.90,48.30,grok_manual,5.80,09_泛健康日更/work/HC20260810-009/production/v01/05_grok_videos/01_raw/HC20260810-009-v01-S09-takeNN.mp4,592fa09a113a008393c925a2ba8a03029ca02a44cf9d2b03847e1172debeb0fa,5e996ef8519406450f36c06a39d53e5ac2ce3849d6d3db9345637886975c318a,599af3788947838820f0c1b3f9ea834d7308d7114a7a9330439fe181952934c9
HB20260810,HC20260810-009,v01,S10,09_泛健康日更/work/HC20260810-009/production/v01/03_first_frames/HC20260810-009-v01-S10-firstframe.png,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-009-v01-S10-firstframe.png,808433,58315c7deb5b976a3594bcc4864ad7b918bd7f76a756347e6c8b6a8db3490c21,09_泛健康日更/work/HC20260810-009/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-009-v01-S10-prompt-zh-en.txt,b583999ce46d56bfbbc83b2a82f495121845cb9f8949ed6cf8218fb9145fd69d,48.30,56.00,deterministic_post,0.00,09_泛健康日更/work/HC20260810-009/production/v01/06_edit/01_rough_cut/HC20260810-009-v01-S10-deterministic-post.mp4,592fa09a113a008393c925a2ba8a03029ca02a44cf9d2b03847e1172debeb0fa,5e996ef8519406450f36c06a39d53e5ac2ce3849d6d3db9345637886975c318a,599af3788947838820f0c1b3f9ea834d7308d7114a7a9330439fe181952934c9
