content_id,shot_id,generation_mode,source_first_frame,copy_first_frame,source_sha256,copy_sha256,prompt_file,prompt_sha256,timeline,minimum_grok_source_seconds,raw_output_template,pack_status
HC20260810-001,S01,grok_manual,09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S01-firstframe.png,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-001-v01-S01-firstframe.png,b3c852ff963fd4abbfb187b6ba1d59fab1de01d83c2101125aac671a0e681394,b3c852ff963fd4abbfb187b6ba1d59fab1de01d83c2101125aac671a0e681394,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-001-v01-S01-prompt-zh-en.txt,6fe10ae953122b0ddccaf60f70502407ff77fc141dc60e0e8def2dc23ebfcba7,00.00-04.00,4.00,09_泛健康日更/work/HC20260810-001/production/v01/05_grok_videos/01_raw/HC20260810-001-v01-S01-takeNN.mp4,verified
HC20260810-001,S02,grok_manual,09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S02-firstframe.png,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-001-v01-S02-firstframe.png,3216d4be1eac7717e2d0eff24b6bc8926027ea58aacb2ec110e58772fe104870,3216d4be1eac7717e2d0eff24b6bc8926027ea58aacb2ec110e58772fe104870,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-001-v01-S02-prompt-zh-en.txt,a3ee4d432b1bc762f9b65c39cbf481861503363bca81fc2e3bd4155aa1a04417,04.00-09.20,5.20,09_泛健康日更/work/HC20260810-001/production/v01/05_grok_videos/01_raw/HC20260810-001-v01-S02-takeNN.mp4,verified
HC20260810-001,S03,deterministic_post,09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S03-firstframe.png,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-001-v01-S03-firstframe.png,0227b931e1253e161a2b4b67f21e34ff8875a4a0a3b58da3c1289be7b89efe58,0227b931e1253e161a2b4b67f21e34ff8875a4a0a3b58da3c1289be7b89efe58,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-001-v01-S03-prompt-zh-en.txt,8b23f6513c125fbc26a6390b98993e84629c30883490864afb93580072677073,09.20-14.40,0.00,09_泛健康日更/work/HC20260810-001/production/v01/06_edit/01_rough_cut/HC20260810-001-v01-S03-deterministic-post.mp4,verified
HC20260810-001,S04,grok_manual,09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S04-firstframe.png,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-001-v01-S04-firstframe.png,47a195c23d5317a9c78173621fa11f5f7216ba55e4edafc79d199cd1c45c436b,47a195c23d5317a9c78173621fa11f5f7216ba55e4edafc79d199cd1c45c436b,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-001-v01-S04-prompt-zh-en.txt,91c1ab97e60483d6c746665a92d92fa7ed81c822ed7c34cdb9ad8547fa7fe687,14.40-19.80,5.40,09_泛健康日更/work/HC20260810-001/production/v01/05_grok_videos/01_raw/HC20260810-001-v01-S04-takeNN.mp4,verified
HC20260810-001,S05,grok_manual,09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S05-firstframe.png,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-001-v01-S05-firstframe.png,dff77f067c2c0efa0302617c9e39ab3086f96db7819bd1c6327ebbaa7444811d,dff77f067c2c0efa0302617c9e39ab3086f96db7819bd1c6327ebbaa7444811d,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-001-v01-S05-prompt-zh-en.txt,e4095dd3867cced2d88255a61bf7b5ffacc79816a8621df7f273ca834818aec9,19.80-25.20,5.40,09_泛健康日更/work/HC20260810-001/production/v01/05_grok_videos/01_raw/HC20260810-001-v01-S05-takeNN.mp4,verified
HC20260810-001,S06,grok_manual,09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S06-firstframe.png,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-001-v01-S06-firstframe.png,fe7abb38c27bd634d9df083217496f8093a3fcb79575724365e58ca7aa7e2c8b,fe7abb38c27bd634d9df083217496f8093a3fcb79575724365e58ca7aa7e2c8b,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-001-v01-S06-prompt-zh-en.txt,23c2d173ebc6b58da9068b84b40f1e9d4daf12c014913eb23ac6eff17a2dc7b2,25.20-30.60,5.40,09_泛健康日更/work/HC20260810-001/production/v01/05_grok_videos/01_raw/HC20260810-001-v01-S06-takeNN.mp4,verified
HC20260810-001,S07,grok_manual,09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S07-firstframe.png,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-001-v01-S07-firstframe.png,c398e1370f6237b6de9104aa0c42377c45e1e4275a4f544d1f1cf3a80cdd3c91,c398e1370f6237b6de9104aa0c42377c45e1e4275a4f544d1f1cf3a80cdd3c91,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-001-v01-S07-prompt-zh-en.txt,cfc2b77099ac15654b8f4430477f0882deb2cd9f675ddc31bf487e6d554ca01e,30.60-36.20,5.60,09_泛健康日更/work/HC20260810-001/production/v01/05_grok_videos/01_raw/HC20260810-001-v01-S07-takeNN.mp4,verified
HC20260810-001,S08,deterministic_post,09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S08-firstframe.png,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-001-v01-S08-firstframe.png,082cc1c38ad7f81ebd982c68c9234daa744d35da476fb74ed521d8aeb75f70f1,082cc1c38ad7f81ebd982c68c9234daa744d35da476fb74ed521d8aeb75f70f1,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-001-v01-S08-prompt-zh-en.txt,ef22260701f8f24d17ffd48f0ff90d3b0e893eb94ff8b20a9a12c0251e550297,36.20-42.00,0.00,09_泛健康日更/work/HC20260810-001/production/v01/06_edit/01_rough_cut/HC20260810-001-v01-S08-deterministic-post.mp4,verified
HC20260810-001,S09,grok_manual,09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S09-firstframe.png,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-001-v01-S09-firstframe.png,b51e031d10ddc622459079fa4df77b52fa9e48a813203a645834a8cd93d420ef,b51e031d10ddc622459079fa4df77b52fa9e48a813203a645834a8cd93d420ef,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-001-v01-S09-prompt-zh-en.txt,87af318e6dd96504c7daf6e759739367019b72346de03498939bd4499e62b773,42.00-48.50,5.80,09_泛健康日更/work/HC20260810-001/production/v01/05_grok_videos/01_raw/HC20260810-001-v01-S09-takeNN.mp4,verified
HC20260810-001,S10,deterministic_post,09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S10-firstframe.png,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/01_first_frames/HC20260810-001-v01-S10-firstframe.png,a8f85b8463f4443994e585409aeda160aa3ede74725c0bd643bcc96979f2bae4,a8f85b8463f4443994e585409aeda160aa3ede74725c0bd643bcc96979f2bae4,09_泛健康日更/work/HC20260810-001/production/v01/04_grok_batch/manual_pack/02_prompts/HC20260810-001-v01-S10-prompt-zh-en.txt,22c608e515a680c6aa6f7117ff47a1c74d18dbb8a2ba2970047ad8de2dfa11bb,48.50-54.00,0.00,09_泛健康日更/work/HC20260810-001/production/v01/06_edit/01_rough_cut/HC20260810-001-v01-S10-deterministic-post.mp4,verified
